cache_state,expected_rows,archetype,score
cold,3000,dataThroughTtp,0.743990
cold,3000,dataThroughTtp-cached,0.743990
cold,3000,dataThroughTtp-compressed,0.741435
cold,3000,computeToData,0.269931
cold,3000,computeToData-cached,0.269931
cold,3000,computeToData-compressed,0.256010
warm,3000,dataThroughTtp-cached,0.950507
warm,3000,computeToData-cached,0.865063
warm,3000,dataThroughTtp,0.151921
warm,3000,dataThroughTtp-compressed,0.149061
warm,3000,computeToData,0.058625
warm,3000,computeToData-compressed,0.056074
cold,6000,dataThroughTtp-compressed,0.588296
cold,6000,dataThroughTtp,0.582048
cold,6000,dataThroughTtp-cached,0.582048
cold,6000,computeToData-compressed,0.420944
cold,6000,computeToData,0.415844
cold,6000,computeToData-cached,0.415844
warm,6000,dataThroughTtp-cached,0.958601
warm,6000,computeToData-cached,0.887626
warm,6000,dataThroughTtp,0.112987
warm,6000,dataThroughTtp-compressed,0.112790
warm,6000,computeToData-compressed,0.089548
warm,6000,computeToData,0.087832
cold,9000,computeToData-compressed,0.572579
cold,9000,computeToData,0.557980
cold,9000,computeToData-cached,0.557980
cold,9000,dataThroughTtp-compressed,0.437193
cold,9000,dataThroughTtp,0.433314
cold,9000,dataThroughTtp-cached,0.433314
warm,9000,dataThroughTtp-cached,0.965049
warm,9000,computeToData-cached,0.906381
warm,9000,computeToData-compressed,0.136559
warm,9000,computeToData,0.129014
warm,9000,dataThroughTtp-compressed,0.094169
warm,9000,dataThroughTtp,0.094102
cold,12000,computeToData-compressed,0.667537
cold,12000,computeToData,0.647528
cold,12000,computeToData-cached,0.647528
cold,12000,dataThroughTtp-compressed,0.340785
cold,12000,dataThroughTtp,0.336830
cold,12000,dataThroughTtp-cached,0.336830
warm,12000,dataThroughTtp-cached,0.969407
warm,12000,computeToData-cached,0.919901
warm,12000,computeToData-compressed,0.173287
warm,12000,computeToData,0.160493
warm,12000,dataThroughTtp-compressed,0.080765
warm,12000,dataThroughTtp,0.080493
cold,15000,computeToData-compressed,0.728159
cold,15000,computeToData,0.704638
cold,15000,computeToData-cached,0.704638
cold,15000,dataThroughTtp-compressed,0.279358
cold,15000,dataThroughTtp,0.275091
cold,15000,dataThroughTtp-cached,0.275091
warm,15000,dataThroughTtp-cached,0.972470
warm,15000,computeToData-cached,0.930069
warm,15000,computeToData-compressed,0.199989
warm,15000,computeToData,0.183260
warm,15000,dataThroughTtp-compressed,0.070714
warm,15000,dataThroughTtp,0.070263
cold,18000,computeToData-compressed,0.769646
cold,18000,computeToData,0.743067
cold,18000,computeToData-cached,0.743067
cold,18000,dataThroughTtp-compressed,0.237473
cold,18000,dataThroughTtp,0.232877
cold,18000,dataThroughTtp-cached,0.232877
warm,18000,dataThroughTtp-cached,0.974690
warm,18000,computeToData-cached,0.937977
warm,18000,computeToData-compressed,0.219555
warm,18000,computeToData,0.199869
warm,18000,dataThroughTtp-compressed,0.062927
warm,18000,dataThroughTtp,0.062309
cold,21000,computeToData-compressed,0.799682
cold,21000,computeToData,0.770100
cold,21000,computeToData-cached,0.770100
cold,21000,dataThroughTtp-compressed,0.207293
cold,21000,dataThroughTtp,0.202356
cold,21000,dataThroughTtp-cached,0.202356
warm,21000,dataThroughTtp-cached,0.976338
warm,21000,computeToData-cached,0.944296
warm,21000,computeToData-compressed,0.234086
warm,21000,computeToData,0.212145
warm,21000,dataThroughTtp-compressed,0.056735
warm,21000,dataThroughTtp,0.055956
cold,24000,computeToData-compressed,0.822383
cold,24000,computeToData,0.789780
cold,24000,computeToData-cached,0.789780
cold,24000,dataThroughTtp-compressed,0.184613
cold,24000,dataThroughTtp,0.179316
cold,24000,dataThroughTtp-cached,0.179316
warm,24000,dataThroughTtp-cached,0.977587
warm,24000,computeToData-cached,0.949457
warm,24000,computeToData-compressed,0.244983
warm,24000,computeToData,0.221297
warm,24000,dataThroughTtp-compressed,0.051707
warm,24000,dataThroughTtp,0.050769
cold,27000,computeToData-compressed,0.840120
cold,27000,computeToData,0.804493
cold,27000,computeToData-cached,0.804493
cold,27000,dataThroughTtp-compressed,0.167011
cold,27000,dataThroughTtp,0.161335
cold,27000,dataThroughTtp-cached,0.161335
warm,27000,dataThroughTtp-cached,0.978550
warm,27000,computeToData-cached,0.953751
warm,27000,computeToData-compressed,0.253190
warm,27000,computeToData,0.228142
warm,27000,dataThroughTtp-compressed,0.047551
warm,27000,dataThroughTtp,0.046455
cold,30000,computeToData-compressed,0.854348
cold,30000,computeToData,0.815729
cold,30000,computeToData-cached,0.815729
cold,30000,dataThroughTtp-compressed,0.153000
cold,30000,dataThroughTtp,0.146925
cold,30000,dataThroughTtp-cached,0.146925
warm,30000,dataThroughTtp-cached,0.979304
warm,30000,computeToData-cached,0.957376
warm,30000,computeToData-compressed,0.259359
warm,30000,computeToData,0.233243
warm,30000,dataThroughTtp-compressed,0.044065
warm,30000,dataThroughTtp,0.042813
